B	run1	event/AfterMessageRuleCallEvent, result::Any	274.1	281.6	3	128
B	run1	barrier/kernel(tuple, ann), Any-typed args	22.7	23.9	1	32
B	run1	barrier/kernel(tuple, ann), known types	3.5	3.8	0	0
B	run1	barrier/kernel(a, b), Any-typed args	22.4	23.1	1	32
B	run1	unpack/map(getdata, 2 messages)	28.8	30.5	1	32
B	run1	graph/iid n=1000 10 it	4.5197083e7	4.6736917e7	-1	23212224
B	run1	graph/chain n=300 10 it	6.6597916e7	6.69715e7	-1	31938304
C	run1	map/direct  NMV->out m[μ]::NMV m[v]::PM (BP)	484.5	515.5	18	1008
C	run1	map/barrier NMV->out m[μ]::NMV m[v]::PM (BP)	497.8	536.9	19	1040
C	run1	resolve/barrier NMV->out m[μ]::NMV m[v]::PM (BP)	132.3	140.2	2	48
C	run1	deferred/barrier NMV->out m[μ]::NMV m[v]::PM (BP)	509.3	538.8	19	1040
C	run1	map/direct  NMP->μ q[out]::PM q[τ]::Gamma (VMP)	435.0	457.9	14	560
C	run1	map/barrier NMP->μ q[out]::PM q[τ]::Gamma (VMP)	451.6	478.4	15	592
C	run1	resolve/barrier NMP->μ q[out]::PM q[τ]::Gamma (VMP)	135.8	139.9	2	48
C	run1	deferred/barrier NMP->μ q[out]::PM q[τ]::Gamma (VMP)	454.1	477.2	15	592
C	run1	map/direct  MvNMC->out m[μ]::MvNMC(3) m[Σ]::PM (BP)	526.1	553.3	20	1152
C	run1	map/barrier MvNMC->out m[μ]::MvNMC(3) m[Σ]::PM (BP)	551.9	593.5	21	1184
C	run1	resolve/barrier MvNMC->out m[μ]::MvNMC(3) m[Σ]::PM (BP)	185.6	194.5	2	48
C	run1	deferred/barrier MvNMC->out m[μ]::MvNMC(3) m[Σ]::PM (BP)	556.8	590.5	21	1184
C	run1	map/direct  Bernoulli->out m[p]::Beta	480.6	501.6	18	944
C	run1	map/barrier Bernoulli->out m[p]::Beta	500.9	529.6	19	976
C	run1	resolve/barrier Bernoulli->out m[p]::Beta	127.9	131.9	2	48
C	run1	deferred/barrier Bernoulli->out m[p]::Beta	506.7	532.2	19	976
C	run1	map/direct  Categorical->p q[out]::Categorical	618.2	660.8	21	1072
C	run1	map/barrier Categorical->p q[out]::Categorical	639.1	675.3	22	1104
C	run1	resolve/barrier Categorical->p q[out]::Categorical	324.6	343.6	4	208
C	run1	deferred/barrier Categorical->p q[out]::Categorical	667.7	703.7	22	1104
C	run1	joint-marginal/barrier NMV (out,μ)	236.9	254.6	16	688
C	run1	product/NMV x3	735.2	778.9	13	368
C	run1	product/deferred NMV x3	740.8	778.4	13	368
C	run1	product/NMV x10	1408.3	1516.7	48	1264
C	run1	product/deferred NMV x10	1420.9	1529.2	48	1264
C	run1	product/MvNMC(3) x3	1550.0	1658.3	35	1632
C	run1	marginal-at-variable/NMV x3	820.3	862.4	14	400
C	run1	stream/marginal combineLatest x3 round	111.0	115.6	0	0
C	run1	stream/message combineLatest x3 round	110.5	116.6	0	0
C	run1	event/AfterMessageRuleCallEvent, result::Any	272.1	281.5	3	128
