C	run1	barrier/kernel(tuple, ann), Any-typed args	23.8	25.2	1	32
C	run1	barrier/kernel(tuple, ann), known types	3.4	3.7	0	0
C	run1	barrier/kernel(a, b), Any-typed args	23.8	24.5	1	32
C	run1	unpack/map(getdata, 2 messages)	28.7	30.4	1	32
C	run1	graph/iid n=1000 10 it	1.5653042e7	1.5843958e7	-1	19530864
C	run1	graph/chain n=300 10 it	3.2965792e7	3.6943292e7	-1	25378704
E	run1	map/direct  NMV->out m[μ]::NMV m[v]::PM (BP)	213.9	224.9	15	880
E	run1	map/barrier NMV->out m[μ]::NMV m[v]::PM (BP)	229.7	243.2	16	912
E	run1	resolve/barrier NMV->out m[μ]::NMV m[v]::PM (BP)	131.3	136.7	2	48
E	run1	deferred/barrier NMV->out m[μ]::NMV m[v]::PM (BP)	245.9	267.4	16	912
E	run1	map/direct  NMP->μ q[out]::PM q[τ]::Gamma (VMP)	161.2	172.9	11	432
E	run1	map/barrier NMP->μ q[out]::PM q[τ]::Gamma (VMP)	182.1	195.1	12	464
E	run1	resolve/barrier NMP->μ q[out]::PM q[τ]::Gamma (VMP)	140.1	144.0	2	48
E	run1	deferred/barrier NMP->μ q[out]::PM q[τ]::Gamma (VMP)	194.7	213.1	12	464
E	run1	map/direct  MvNMC->out m[μ]::MvNMC(3) m[Σ]::PM (BP)	248.1	267.1	17	1024
E	run1	map/barrier MvNMC->out m[μ]::MvNMC(3) m[Σ]::PM (BP)	261.8	280.7	18	1056
E	run1	resolve/barrier MvNMC->out m[μ]::MvNMC(3) m[Σ]::PM (BP)	183.5	188.3	2	48
E	run1	deferred/barrier MvNMC->out m[μ]::MvNMC(3) m[Σ]::PM (BP)	275.9	303.8	18	1056
E	run1	map/direct  Bernoulli->out m[p]::Beta	199.4	217.6	15	848
E	run1	map/barrier Bernoulli->out m[p]::Beta	223.3	240.2	16	880
E	run1	resolve/barrier Bernoulli->out m[p]::Beta	129.0	132.3	2	48
E	run1	deferred/barrier Bernoulli->out m[p]::Beta	254.3	273.8	16	880
E	run1	map/direct  Categorical->p q[out]::Categorical	317.1	343.5	18	960
E	run1	map/barrier Categorical->p q[out]::Categorical	323.1	349.1	19	992
E	run1	resolve/barrier Categorical->p q[out]::Categorical	266.9	279.8	4	208
E	run1	deferred/barrier Categorical->p q[out]::Categorical	342.1	364.9	19	992
E	run1	joint-marginal/barrier NMV (out,μ)	232.6	253.1	16	688
E	run1	product/NMV x3	222.1	241.4	11	288
E	run1	product/deferred NMV x3	223.5	236.8	11	288
E	run1	product/NMV x10	915.4	955.7	46	1184
E	run1	product/deferred NMV x10	886.6	928.3	46	1184
E	run1	product/MvNMC(3) x3	1029.2	1108.3	33	1552
E	run1	marginal-at-variable/NMV x3	259.3	275.3	12	320
E	run1	stream/marginal combineLatest x3 round	109.6	114.1	0	0
E	run1	stream/message combineLatest x3 round	108.6	112.1	0	0
E	run1	event/AfterMessageRuleCallEvent, result::Any	276.4	282.0	3	128
E	run1	barrier/kernel(tuple, ann), Any-typed args	24.2	26.0	1	32
E	run1	barrier/kernel(tuple, ann), known types	3.5	3.7	0	0
E	run1	barrier/kernel(a, b), Any-typed args	24.3	25.2	1	32
E	run1	unpack/map(getdata, 2 messages)	28.8	30.7	1	32
E	run1	graph/iid n=1000 10 it	1.1662333e7	1.197275e7	-1	16969808
E	run1	graph/chain n=300 10 it	1.7905541e7	1.8427791e7	-1	21500848
F	run1	map/direct  NMV->out m[μ]::NMV m[v]::PM (BP)	178.2	189.0	12	800
F	run1	map/barrier NMV->out m[μ]::NMV m[v]::PM (BP)	190.4	202.5	13	832
F	run1	resolve/barrier NMV->out m[μ]::NMV m[v]::PM (BP)	25.5	27.0	2	144
F	run1	deferred/barrier NMV->out m[μ]::NMV m[v]::PM (BP)	202.4	222.8	13	832
F	run1	map/direct  NMP->μ q[out]::PM q[τ]::Gamma (VMP)	120.5	133.8	8	352
F	run1	map/barrier NMP->μ q[out]::PM q[τ]::Gamma (VMP)	137.8	144.5	9	384
F	run1	resolve/barrier NMP->μ q[out]::PM q[τ]::Gamma (VMP)	25.9	27.6	2	144
F	run1	deferred/barrier NMP->μ q[out]::PM q[τ]::Gamma (VMP)	145.6	154.4	9	384
F	run1	map/direct  MvNMC->out m[μ]::MvNMC(3) m[Σ]::PM (BP)	199.0	211.8	14	944
F	run1	map/barrier MvNMC->out m[μ]::MvNMC(3) m[Σ]::PM (BP)	219.8	235.7	15	976
